Name,Icon,City,State,Latitude,Longitude
Aryan Nations LA,neo-nazi,Bedford,Virginia,37.33,-79.52
National Socialist Movement,neo-nazi,,Florida,28.53,-81.37
Creativity Alliance,neo-nazi,,Arkansas,35.2,-91.833
Aryan Nations LA,neo-nazi,,Texas,31.96,-99.9
American Nazi Party,neo-nazi,Westland,Michigan,42.335811,-83.38428
Creativity Alliance,neo-nazi,,West Virginia,38.58843,-80.45
Aryan Nations OH,neo-nazi,,Michigan,44.31,-85.6
National Socialist Movement,neo-nazi,,Nebraska,41.49,-99.9
Creativity Movement,neo-nazi,Bloomington,Illinois,40.48,-88.99
Christian Defense League,neo-nazi,Mandeville,Louisiana,30.36469,-90.08779
National Socialist Movement,neo-nazi,Yucca Valley,California,34.11,-116.43
National Alliance,neo-nazi,Parma,Ohio,41.391641,-81.702104
Creativity Alliance,neo-nazi,,Utah,39.32,-111.09
Heathens Motorcycle Club,neo-nazi,Rome,Georgia,34.257038,-85.164672
Creativity Movement,neo-nazi,,Missouri,37.96,-91.83
Sadistic Souls Motorcycle Club,neo-nazi,,Oklahoma,35.46,-97.51
Nationalist Coalition,neo-nazi,St Petersburg,Florida,27.77,-82.63
Gallows Tree Wotansvolk Alliance,neo-nazi,,Indiana,40.26,-86.13
National Socialist Movement,neo-nazi,,Louisiana,30.98,-91.967583
National Socialist Movement,neo-nazi,,New Hampshire,43.19,-71.57
Maryland National Socialist Party,neo-nazi,Elkridge,Maryland,39.212607,-76.713581
Creativity Movement,neo-nazi,Mountain,Wisconsin,45.18,-88.47
National Socialist Movement,neo-nazi,Springfield,Missouri,37.2,-93.29
Sadistic Souls Motorcycle Club,neo-nazi,Mercer,Wisconsin,46.16,-90.06
National Alliance,neo-nazi,Mountain City,Tennessee,36.47,-81.8
American Nazi Party,neo-nazi,,Ohio,40.103832,-83.020024
New Order,neo-nazi,Milwaukee,Wisconsin,42.99801,-88.046089
National Socialist Movement,neo-nazi,,Maryland,39.04,-76.64
National Socialist Movement,neo-nazi,Tallahassee,Florida,30.43,-84.28
Battalion 14,neo-nazi,Jackson,Michigan,42.24,-84.4
Creativity Movement,neo-nazi,,Kentucky,37.83,-84.274406
American Nazi Party,neo-nazi,,Texas,30.212844,-97.747357
Creativity Movement,neo-nazi,,Washington,47.75,-120.74
National Socialist Freedom Movement,neo-nazi,,Connecticut,41.597729,-73.08
Creativity Movement,neo-nazi,,Arizona,34.04,-111.09
Aryan Nations LA,neo-nazi,Midland Park,New Jersey,40.98,-74.14
National Socialist Movement,neo-nazi,,Wyoming,43.07,-107.29
Aryan Nations LA,neo-nazi,Exeter,New Hampshire,42.98,-70.94
NS Publications,neo-nazi,Wyandotte,Michigan,42.214206,-83.149923
National Socialist Movement,neo-nazi,,Vermont,44.55,-72.57
National Socialist Movement,neo-nazi,Myrtle Beach,South Carolina,33.68,-78.88
National Socialist Movement,neo-nazi,,Pennsylvania,41.2,-77.183762
National Socialist Movement,neo-nazi,,Idaho,44.06,-114.745674
American Nazi Party,neo-nazi,,Virginia,37.574542,-77.543312
National Socialist Movement,neo-nazi,Clifton,New Jersey,40.85,-74.16
Creativity Alliance,neo-nazi,,Texas,31.96,-99.893875
National Socialist Movement,neo-nazi,Tucson,Arizona,32.22,-110.92
Aryan Nations OH,neo-nazi,,Pennsylvania,41.2,-77.19
Aryan Nations OH,neo-nazi,,Kentucky,37.83,-84.27
National Socialist Freedom Movement,neo-nazi,,Georgia,33.948814,-84.537945
National Socialist Movement,neo-nazi,,Wisconsin,43.78,-88.78
National Socialist Movement,neo-nazi,,Rhode Island,41.58,-71.47
Aryan Nations LA,neo-nazi,Norton,Vermont,45.01,-71.79
National Socialist Movement,neo-nazi,Syracuse,New York,43.04,-76.14
Aryan Nations LA,neo-nazi,Converse,Louisiana,31.78,-93.69
Creativity Alliance,neo-nazi,,North Carolina,35.75,-79.01
Aryan Nations LA,neo-nazi,,Arkansas,35.1985,-91.83
National Socialist Movement,neo-nazi,,California,36.74,-119.77
Third Reich Books,neo-nazi,Fairbury,Nebraska,40.14,-97.17
Aryan Nations OH,neo-nazi,,Florida,27.66,-81.51
Forssaken Motorcycle Club,neo-nazi,Center Ridge,Arkansas,35.37387,-92.563537
National Socialist Movement,neo-nazi,Detroit,Michigan,42.401041,-82.998534
National Socialist Freedom Movement,neo-nazi,,Ohio,41.044038,-81.521241
Creativity Movement,neo-nazi,Covington,Ohio,40.11,-84.35
National Socialist Movement,neo-nazi,,Connecticut,41.6,-73.075562
Creativity Alliance,neo-nazi,,Virginia,37.430978,-78.65
National Socialist Movement,neo-nazi,Bayonne,New Jersey,40.66,-74.11
Aryan Nations LA,neo-nazi,Hickory,North Carolina,35.73,-81.34
National Socialist Movement,neo-nazi,,Alabama,32.31,-86.9
National Socialist Movement,neo-nazi,Minneapolis,Minnesota,44.97,-93.26
National Socialist Movement,neo-nazi,Chicago,Illinois,41.87,-87.62
National Socialist Movement,neo-nazi,,Maine,45.25,-69.44
Creativity Alliance,neo-nazi,,Georgia,32.16,-82.9
American Nazi Party,neo-nazi,Rialto,California,34.155954,-117.402774
Sadistic Souls Motorcycle Club,neo-nazi,Friedens,Pennsylvania,40.05,-78.99
National Socialist Freedom Movement,neo-nazi,,South Carolina,33.832779,-81.16
National Socialist Movement,neo-nazi,Atlanta,Georgia,33.743469,-84.38
Creativity Movement,neo-nazi,,South Dakota,43.96,-99.9
National Socialist Movement,neo-nazi,,Utah,39.32155,-111.09
Creativity Movement,neo-nazi,,New York,43.292451,-74.21
Creativity Movement,neo-nazi,,West Virginia,38.59,-80.454597
National Socialist Movement,neo-nazi,Newark,New Jersey,40.73,-74.17
Creativity Movement,neo-nazi,,Connecticut,41.6,-73.08
Gallows Tree Wotansvolk Alliance,neo-nazi,Grand Rapids,Michigan,42.96,-85.66
National Socialist Movement,neo-nazi,,Kentucky,37.833378,-84.27
Creativity Alliance,neo-nazi,,California,36.77,-119.41
Golden Dawn,neo-nazi,Astoria,New York,40.763372,-73.910997
Aryan Nations OH,neo-nazi,,Tennessee,35.51,-86.58
Creativity Alliance,neo-nazi,,Florida,27.660116,-81.51
National Socialist Movement,neo-nazi,,Tennessee,35.51,-86.58
National Socialist Freedom Movement,neo-nazi,,Texas,30.222844,-97.747357
Aryan Nations LA,neo-nazi,Bushnell,Florida,28.66,-82.11
National Socialist Movement,neo-nazi,New York,New York,40.71,-74
Creativity Alliance,neo-nazi,,South Carolina,33.83,-81.16
Aryan Nations OH,neo-nazi,Bainbridge,Ohio,39.22,-83.27
Aryan Nations - LA,neo-nazi,North Bergen,New Jersey,40.8,-74.01
National Socialist Movement,neo-nazi,San Diego,California,32.71,-117.16
Aryan Nations OH,neo-nazi,,Idaho,44.063907,-114.74
Aryan Nations LA,neo-nazi,Boise,Idaho,43.61,-116.21
National Socialist Movement,neo-nazi,,Massachusetts,42.4,-71.38
National Socialist Freedom Movement,neo-nazi,,Louisiana,30.984673,-91.96
National Socialist Freedom Movement,neo-nazi,Tulsa,Oklahoma,36.151088,-95.99458
