Name,Icon,City,State,Latitude,Longitude
Tony Alamo Christian Ministries,other,Fort Smith,Arkansas,35.37046,-94.413064
a2z Publications,other,Las Vegas,Nevada,36.15,-115.21
Tea Party Nation,other,Franklin,Tennessee,35.861207,-86.863581
Christian Anti-Defamation Commission,other,Vista,California,33.221773,-117.226056
White Pride Home School Resource Center,other,Bergman,Arkansas,36.316745,-93.011942
Sons of Aesir Motorcycle Club,other,Irapuato,Arizona,33.29,-112.42
Insight USA,other,Longwood,Florida,28.690591,-81.408321
Jewish Task Force,other,Fresh Meadows,New York,40.742194,-73.788968
Masjid al Islam,other,Oakland,California,37.793681,-122.146219
Aggressive Christianity,other,Berino,New Mexico,32.03808,-106.45479
National Prayer Network,other,Clackamas,Oregon,45.412015,-122.54578
Cultural Studies Press,other,New York,New York,40.737341,-73.954804
Society for the Practical Establishment and Perpetuation of the Ten Commandments,other,Eatonton,Georgia,33.326799,-83.388496
Alliance for Catholic Tradition,rad-trad-catholicism,Pleasant Unity,Pennsylvania,40.240555,-79.457731
Slaves of the Immaculate Heart of Mary,rad-trad-catholicism,Richmond,New Hampshire,42.748849,-72.22305
IHS Press,rad-trad-catholicism,Norfolk,Virginia,36.896331,-76.305418
Catholic Family News/Catholic Family Ministries Inc.,rad-trad-catholicism,Niagara Falls,New York,43.086335,-79.059163
St. Michael's Parish/Mount St. Michael,rad-trad-catholicism,Spokane,Washington,47.73169,-117.341557
Most Holy Family Monastery,rad-trad-catholicism,Fillmore,New York,42.438091,-77.985067
OMNI Christian Book Club,rad-trad-catholicism,Palmdale,California,34.35794,-118.065444
Culture Wars/Fidelity Press,rad-trad-catholicism,South Bend,Indiana,41.689403,-86.252357
In the Spirit of Chartres Committee,rad-trad-catholicism,Carrollton,Virginia,36.946815,-76.560507
Robert Sungenis,rad-trad-catholicism,State Line,Pennsylvania,39.722976,-77.724641
Christ or Chaos,rad-trad-catholicism,West Chester,Ohio,39.328237,-84.553667
Tradition in Action,rad-trad-catholicism,Los Angeles,California,34.022447,-118.200027
The Remnant Press,rad-trad-catholicism,Forest Lake,Minnesota,45.283142,-93.010751
International Fatima Rosary Crusade/ Fatima Crusader,rad-trad-catholicism,Constable,New York,44.991376,-74.306598
Catholic Action Resource Center,rad-trad-catholicism,Orlando,Florida,28.568493,-81.253174
IHM Media,rad-trad-catholicism,Richmond,New Hampshire,42.736413,-72.232178
Catholic Counterpoint,rad-trad-catholicism,Broomall,Pennsylvania,39.971667,-75.354722
